באר שבע,H. Beer Sheva
מכבי תל אביב,Maccabi Tel Aviv
"בית""ר",Beitar Jerusalem
הפועל חיפה,Hapoel Haifa
בני יהודה,Yehuda
מכבי פתח תקווה,Maccabi Petah Tikva
נתניה,Netanya
בני סכנין,Sakhnin
מכבי חיפה,Maccabi Haifa
קרית שמונה,Shmona
רעננה,H. Raanana
אשדוד,Moadon Sport Ashdod
אשקלון,Ashkelon
הפועל עירוני עכו,H. Akko
Dinamo Zagreb,D. Zagreb
Rijeka,Rijeka
Hajduk,Hajduk Split
Osijek,Osijek
Slaven Belupo,Slaven Belupo
Lok Zagreb,Lok. Zagreb
Inter Zapresic,Zapresic
Istra 1961,Istra 1961
Rudes Zagreb,Rudes
Cibalia Vinkovci,Cibalia
Celtic,Celtic
Aberdeen,Aberdeen
Rangers,Rangers
Hearts,Hearts
Hibernian,Hibernian
Kilmarnock,Kilmarnock
St Johnstone,St Johnstone
Motherwell,Motherwell
Hamilton,Hamilton
Ross County,Ross County
Partick,Partick Thistle
Dundee,Dundee FC
Зенит,Zenit Petersburg
ЦСКА,CSKA Moscow
Спартак Москва,Spartak Moscow
Локомотив Москва,Lokomotiv Moscow
Краснодар,Krasnodar
Ростов,FK Rostov
Терек,Akhmat Grozny
Рубин,Rubin Kazan
Уфа́,Ufa
Динамо Москва,Dynamo Moscow
Амкар,Amkar
Урал,Ural
Ту́ла,Arsenal Tula
Tosno,Tosno
Анжи,FK Anzi Makhackala
Хабаровск,SKA Khabarovsk
PSV,PSV
Ajax,Ajax
Feyenoord,Feyenoord
Alkmaar,AZ Alkmaar
Utrecht,Utrecht
Vitesse,Vitesse
Zwolle,Zwolle
Den Haag,Den Haag
Heerenveen,Heerenveen
Heracles,Heracles
Groningen,Groningen
Excelsior,Excelsior
Venlo,Venlo
Twente,Twente
Willem II,Willem II
Breda,Breda
Roda,Roda
Sparta Rotterdam,Sparta Rotterdam
Steaua,FCSB
CFR Cluj,CFR Cluj
Viitorul,FC Viitorul
Astra,Astra
Craiova,CS U. Craiova
Dinamo București,Din. Bucuresti
Iasi,Poli Iasi
Botosani,FC Botosani
Chiajna,Concordia
Voluntari,Voluntari
Timișoara,Poli Timisoara
Gaz Metan,Gaz Metan Medias
Sepsi,Sepsi
Juventus Bucuresti,FC Juventus Bucuresti
Viktoria Plzeň,Plzen
Slavia Praha,Slavia Prague
Sparta Praha,Sparta Prague
Slovan Liberec,Liberec
Jablonec,Jablonec
Teplice,Teplice
Mladá Boleslav,Mlada Boleslav
Sigma Olomouc,Sigma Olomouc
Bohemians Praha,Bohemians 1905
Dukla,Dukla Prague
Brno,Brno
Slovácko,Slovacko
Karvina,Karvina
Jihlava,Jihlava
Tescoma Zlin,Zlin
Banik Ostrava,Ostrava
Salzburg,Salzburg
Sturm Graz,Sturm Graz
Rapid Wien,Rapid Vienna
Austria Wien,Austria Vienna
Admira,Admira
Altach,Altach
Mattersburg,Mattersburg
LASK,LASK Linz
Wolfsberg,AC Wolfsberger
St Pölten,St. Polten
Videoton,Videoton
Ferencváros,Ferencvaros
Honvéd,Honved
Debrecen,Debrecen
Paksi,Paks
Újpest,Ujpest
Diósgyőr,DVTK
Haladás,Haladas
Vasas,Vasas
Balmazujvarosi,Balmazujvaros Sport
Puskas Akademia,Puskas Academy
Mezokovesd-Zsory,Mezokovesd-Zsory
Rosenborg,Rosenborg
Molde,Molde
Strømsgodset,Stromsgodset
Sarpsborg,Sarpsborg 08
Brann,Brann
Odd Grenland,Odd
Vålerenga,Valerenga
Lillestrøm,Lillestrom
Stabæk,Stabaek
Haugesund,Haugesund
Tromsø,Tromso
Kristiansund,Kristiansund
Sandefjord,Sandefjord
Ranheim,Ranheim
Bodø/Glimt,Bodo/Glimt
Start,Start
Basel,Basel
Young Boys,Young Boys
Lugano,Lugano
Luzern,Luzern
Grasshoppers,Grasshoppers
St.Gallen,St. Gallen
Zürich,Zurich
Thun,Thun
Lausanne,Lausanne
Sion,Sion
Brugge,Club Brugge KV
Anderlecht,Anderlecht
Genk,Genk
Gent,Gent
Charleroi,Charleroi
Standard,St. Liege
Oostende,Oostende
Zulte Waregem,Waregem
Kortrijk,Kortrijk
St Truiden,St. Truiden
Beveren,Waasland-Beveren
Antwerp,Antwerp
Lokeren,Lokeren
Mechelen,KV Mechelen
Eupen,Eupen
Mouscron,Mouscron
